2024-01-18 22:32:52,731 [Server thread] INFO GottschCore | VersionChecker.java:110 | [gottschcore] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-GottschCore/1.12.2-master/update.json
2024-01-20 07:38:47,360 [Server thread] INFO GottschCore | VersionChecker.java:110 | [gottschcore] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-GottschCore/1.12.2-master/update.json
2024-01-20 07:38:49,146 [Server thread] INFO GottschCore | VersionChecker.java:110 | [treasure2] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-Treasure/master/update.json
2024-01-20 07:38:49,192 [Server thread] WARN GottschCore | VersionChecker.java:55 | Bad URL: 
2024-01-20 07:38:54,229 [Server thread] INFO Treasure2 | ITreasureResourceRegistry.java:50 | reading resources file from stream.
2024-01-20 07:38:54,237 [Server thread] INFO Treasure2 | ITreasureResourceRegistry.java:71 | resources -> LootResources [supportingResources=[pools/armor/common, pools/armor/uncommon, pools/armor/scarce, pools/armor/rare, pools/armor/epic, pools/food/common, pools/food/uncommon, pools/food/scarce, pools/food/rare, pools/food/epic, pools/items/common, pools/items/uncommon, pools/items/scarce, pools/items/rare, pools/items/epic, pools/potions/common, pools/potions/uncommon, pools/potions/scarce, pools/potions/rare, pools/potions/epic, pools/tools/common, pools/tools/uncommon, pools/tools/scarce, pools/tools/rare, pools/treasure/common, pools/treasure/uncommon, pools/treasure/scarce, pools/treasure/rare, pools/treasure/epic, pools/treasure/common_adornments, pools/treasure/common_all, pools/treasure/common_charms, pools/treasure/common_treasure, pools/treasure/uncommon_adornments, pools/treasure/uncommon_all, pools/treasure/uncommon_charms, pools/treasure/uncommon_treasure, pools/treasure/scarce_adornments, pools/treasure/scarce_all, pools/treasure/scarce_charms, pools/treasure/scarce_treasure, pools/treasure/rare_adornments, pools/treasure/rare_all, pools/treasure/rare_charms, pools/treasure/rare_treasure, pools/treasure/epic_adornments, pools/treasure/epic_all, pools/treasure/epic_charms, pools/treasure/epic_treasure, pools/treasure/legendary_adornments, pools/treasure/legendary_all, pools/treasure/legendary_charms, pools/treasure/legendary_treasure, pools/treasure/mythical_adornments, pools/treasure/mythical_all, pools/treasure/mythical_charms, pools/treasure/mythical_treasure], chestResources=[chests/common/general_chest, chests/uncommon/general_chest, chests/scarce/general_chest, chests/rare/general_chest, chests/epic/general_chest, chests/legendary/general_chest, chests/mythical/general_chest], specialResources=[chests/special/black_pearl_well, chests/special/cauldron_chest, chests/special/crystal_skull_chest, chests/special/gold_skull_chest, chests/special/skull_chest, chests/special/white_pearl_well, chests/special/wither_chest], specialLootTableFolderLocations=[chests/special], chestLootTableFolderLocations=[chests/common, chests/uncommon, chests/scarce, chests/rare, chests/epic], supportingLootTableFolderLocatoins=[pools/armor, pools/food, pools/items, pools/potions, pools/tools, pools/treasure]]
2024-01-20 07:38:54,237 [Server thread] WARN Treasure2 | TreasureLootTableRegistry.java:135 | adding mod to loaded mods list
2024-01-20 07:38:54,284 [Server thread] INFO Treasure2 | ITreasureResourceRegistry.java:50 | reading resources file from stream.
2024-01-20 07:38:54,286 [Server thread] INFO Treasure2 | ITreasureResourceRegistry.java:71 | resources -> MetaResources [resources=[structures/basic1.json, structures/basic2.json, structures/basic3.json, structures/basic4.json, structures/basic5.json, structures/beached-ship1.json, structures/beached-ship2.json, structures/beached-ship3.json, structures/blacksmith1.json, structures/castle1.json, structures/cave1.json, structures/cave2.json, structures/church1.json, structures/cobb1.json, structures/crypt1.json, structures/crypt2.json, structures/crypt3.json, structures/desert-tower2.json, structures/dingy1.json, structures/fortress1.json, structures/house1.json, structures/ionic1.json, structures/iron-chamber1.json, structures/iron-chamber2.json, structures/large-tower1.json, structures/mine1.json, structures/obsidian-chamber1.json, structures/pirate-chamber1.json, structures/sunken-ship1.json, structures/sunken-ship2.json, structures/sunken-ship3.json, structures/tower1.json, structures/tower2.json, structures/tower3.json, structures/tower4.json, structures/tower5.json, structures/underwater-ruins1.json, structures/underwater-ruins2.json, structures/underwater-ruins3.json, structures/wither-chamber1.json, structures/canopy-wishing-well1.json, structures/desert-wishing-well1.json, structures/desert-wishing-well2.json, structures/simple-well1.json, structures/wood-draw-wishing-well1.json], resourceFolderLocations=[chests, structures]]
2024-01-20 07:38:54,292 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/basic1.json at .\world\data\meta\treasure2\structures\basic1.json but it doesn't exist.
2024-01-20 07:38:54,307 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/basic2.json at .\world\data\meta\treasure2\structures\basic2.json but it doesn't exist.
2024-01-20 07:38:54,309 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/basic3.json at .\world\data\meta\treasure2\structures\basic3.json but it doesn't exist.
2024-01-20 07:38:54,312 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/basic4.json at .\world\data\meta\treasure2\structures\basic4.json but it doesn't exist.
2024-01-20 07:38:54,314 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/basic5.json at .\world\data\meta\treasure2\structures\basic5.json but it doesn't exist.
2024-01-20 07:38:54,316 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/beached-ship1.json at .\world\data\meta\treasure2\structures\beached-ship1.json but it doesn't exist.
2024-01-20 07:38:54,320 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/beached-ship2.json at .\world\data\meta\treasure2\structures\beached-ship2.json but it doesn't exist.
2024-01-20 07:38:54,322 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/beached-ship3.json at .\world\data\meta\treasure2\structures\beached-ship3.json but it doesn't exist.
2024-01-20 07:38:54,325 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/blacksmith1.json at .\world\data\meta\treasure2\structures\blacksmith1.json but it doesn't exist.
2024-01-20 07:38:54,326 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/castle1.json at .\world\data\meta\treasure2\structures\castle1.json but it doesn't exist.
2024-01-20 07:38:54,328 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/cave1.json at .\world\data\meta\treasure2\structures\cave1.json but it doesn't exist.
2024-01-20 07:38:54,330 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/cave2.json at .\world\data\meta\treasure2\structures\cave2.json but it doesn't exist.
2024-01-20 07:38:54,332 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/church1.json at .\world\data\meta\treasure2\structures\church1.json but it doesn't exist.
2024-01-20 07:38:54,334 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/cobb1.json at .\world\data\meta\treasure2\structures\cobb1.json but it doesn't exist.
2024-01-20 07:38:54,336 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/crypt1.json at .\world\data\meta\treasure2\structures\crypt1.json but it doesn't exist.
2024-01-20 07:38:54,337 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/crypt2.json at .\world\data\meta\treasure2\structures\crypt2.json but it doesn't exist.
2024-01-20 07:38:54,339 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/crypt3.json at .\world\data\meta\treasure2\structures\crypt3.json but it doesn't exist.
2024-01-20 07:38:54,341 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/desert-tower2.json at .\world\data\meta\treasure2\structures\desert-tower2.json but it doesn't exist.
2024-01-20 07:38:54,343 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/dingy1.json at .\world\data\meta\treasure2\structures\dingy1.json but it doesn't exist.
2024-01-20 07:38:54,344 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/fortress1.json at .\world\data\meta\treasure2\structures\fortress1.json but it doesn't exist.
2024-01-20 07:38:54,346 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/house1.json at .\world\data\meta\treasure2\structures\house1.json but it doesn't exist.
2024-01-20 07:38:54,348 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/ionic1.json at .\world\data\meta\treasure2\structures\ionic1.json but it doesn't exist.
2024-01-20 07:38:54,351 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/iron-chamber1.json at .\world\data\meta\treasure2\structures\iron-chamber1.json but it doesn't exist.
2024-01-20 07:38:54,353 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/iron-chamber2.json at .\world\data\meta\treasure2\structures\iron-chamber2.json but it doesn't exist.
2024-01-20 07:38:54,355 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/large-tower1.json at .\world\data\meta\treasure2\structures\large-tower1.json but it doesn't exist.
2024-01-20 07:38:54,357 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/mine1.json at .\world\data\meta\treasure2\structures\mine1.json but it doesn't exist.
2024-01-20 07:38:54,359 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/obsidian-chamber1.json at .\world\data\meta\treasure2\structures\obsidian-chamber1.json but it doesn't exist.
2024-01-20 07:38:54,360 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/pirate-chamber1.json at .\world\data\meta\treasure2\structures\pirate-chamber1.json but it doesn't exist.
2024-01-20 07:38:54,363 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/sunken-ship1.json at .\world\data\meta\treasure2\structures\sunken-ship1.json but it doesn't exist.
2024-01-20 07:38:54,365 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/sunken-ship2.json at .\world\data\meta\treasure2\structures\sunken-ship2.json but it doesn't exist.
2024-01-20 07:38:54,367 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/sunken-ship3.json at .\world\data\meta\treasure2\structures\sunken-ship3.json but it doesn't exist.
2024-01-20 07:38:54,368 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/tower1.json at .\world\data\meta\treasure2\structures\tower1.json but it doesn't exist.
2024-01-20 07:38:54,370 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/tower2.json at .\world\data\meta\treasure2\structures\tower2.json but it doesn't exist.
2024-01-20 07:38:54,372 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/tower3.json at .\world\data\meta\treasure2\structures\tower3.json but it doesn't exist.
2024-01-20 07:38:54,373 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/tower4.json at .\world\data\meta\treasure2\structures\tower4.json but it doesn't exist.
2024-01-20 07:38:54,375 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/tower5.json at .\world\data\meta\treasure2\structures\tower5.json but it doesn't exist.
2024-01-20 07:38:54,377 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/underwater-ruins1.json at .\world\data\meta\treasure2\structures\underwater-ruins1.json but it doesn't exist.
2024-01-20 07:38:54,379 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/underwater-ruins2.json at .\world\data\meta\treasure2\structures\underwater-ruins2.json but it doesn't exist.
2024-01-20 07:38:54,381 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/underwater-ruins3.json at .\world\data\meta\treasure2\structures\underwater-ruins3.json but it doesn't exist.
2024-01-20 07:38:54,383 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/wither-chamber1.json at .\world\data\meta\treasure2\structures\wither-chamber1.json but it doesn't exist.
2024-01-20 07:38:54,385 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/canopy-wishing-well1.json at .\world\data\meta\treasure2\structures\canopy-wishing-well1.json but it doesn't exist.
2024-01-20 07:38:54,387 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/desert-wishing-well1.json at .\world\data\meta\treasure2\structures\desert-wishing-well1.json but it doesn't exist.
2024-01-20 07:38:54,389 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/desert-wishing-well2.json at .\world\data\meta\treasure2\structures\desert-wishing-well2.json but it doesn't exist.
